micron     Jy           Jy      quality
      5.95154     0.282715    0.0141358       0  IRS
      6.67774     0.314500    0.0157250       0  IRS
      7.49254     0.427797    0.0213898       0  IRS
      8.40677     0.561539    0.0280770       0  IRS
      9.43255     0.133810   0.00669050       0  IRS
      10.5835    0.0145410   0.00118979       0  IRS
      11.2106    0.0318533   0.00159266       0  IRS
      11.8749    0.0918734   0.00459367       0  IRS
      12.5785     0.257599    0.0128799       0  IRS
      13.3238     0.632421    0.0316211       0  IRS
      14.1133     0.759479    0.0379739       0  IRS
      14.9496     0.795308    0.0397654       0  IRS
      16.7737     0.565510    0.0282755       0  IRS
      18.8204     0.552927    0.0276464       0  IRS
      21.1169     0.936566    0.0468283       0  IRS
      23.6935      1.45039    0.0725195       0  IRS
      26.5845      2.49164     0.124582       0  IRS
      29.8284      3.55859     0.177929       0  IRS
      6.03259     0.290504    0.0145252       0  IRS
      6.56177     0.295044    0.0147522       0  IRS
      8.14929     0.559561    0.0279781       0  IRS
      9.10181     0.303197    0.0151599       0  IRS
      10.2660    0.0141314   0.00143818       0  IRS
      11.9594     0.107800   0.00539000       0  IRS
      250.000     0.504400    0.0252200       0  HERUS
      350.000     0.163500   0.00817500       0  HERUS
      500.000    0.0598000   0.00430000       0  HERUS
     0.153061  0.000103000 9.51000e-006       0  NED
     0.202703  0.000139000 1.28000e-005       0  NED
     0.229008  0.000173000 1.59000e-005       0  NED
     0.355450  0.000305000 1.52500e-005       0  NED
     0.440529  0.000812000  0.000164000       0  NED
     0.468750   0.00103000 5.15000e-005       0  NED
     0.617284   0.00146000 7.30000e-005       0  NED
     0.748130   0.00187000 9.35000e-005       0  NED
     0.892857   0.00219000  0.000115000       0  NED
      1.23457   0.00310000  0.000476000       0  NED
      1.64835   0.00380000  0.000529000       0  NED
      3.35946    0.0241000   0.00222000       0  NED
      3.55450    0.0371000   0.00185500       0  NED
      4.49775    0.0947000   0.00473500       0  NED
      5.71429     0.255000    0.0235000       0  NED
      22.2222      1.28000     0.118000       0  NED
      23.4375      1.45000     0.133000       0  NED
      25.0000      1.73000     0.121000       0  NED
      60.0000      7.66000     0.383000       0  NED
      100.000      4.77000     0.238500       0  NED
