micron   Jy    Jy   quality
     0.378000 1.22808e-007 1.22685e-008       0
     0.433000 2.02687e-007 2.02485e-008       0
     0.594000 2.99520e-007 2.99221e-008       0
     0.771000 4.76021e-007 4.75545e-008       0
     0.886000 6.21765e-007 6.21144e-008       0
      1.25500 1.58353e-006 1.58195e-007       0
      2.16300 2.45260e-006 2.45015e-007       0
      3.56200 5.35089e-006 5.34554e-007       0
      4.51200 3.40116e-006 3.39776e-007       0
      5.68600 3.87281e-006 3.86894e-007       0
      7.93600 3.66123e-006 3.65757e-007       0
      24.0000  0.000306450 3.06144e-005       0
      90.0000   0.00173999  0.000173825       0
      160.000   0.00390331  0.000389941       0
      250.000   0.00874109  0.000873236       0
      350.000   0.00853272  0.000852420       0
