micron   Jy    Jy   quality
      14.3583  0.000109170 1.09061e-005       0
      15.1835 9.77580e-005 9.76603e-006       0
      15.2752 9.94660e-005 9.93666e-006       0
      15.4586  0.000100088 9.99880e-006       0
      17.2008  0.000103162 1.03059e-005       0
      17.2925  0.000124634 1.24509e-005       0
      17.8426  0.000115588 1.15473e-005       0
      17.9343  0.000138612 1.38474e-005       0
      18.0260  0.000113888 1.13774e-005       0
      18.1177  0.000166994 1.66827e-005       0
      18.2094  0.000111674 1.11562e-005       0
      18.3928  0.000145092 1.44947e-005       0
      18.4845  0.000176880 1.76703e-005       0
      18.5762  0.000129194 1.29065e-005       0
      18.6679  0.000250304 2.50054e-005       0
      18.7596  0.000269106 2.68837e-005       0
      18.8513  0.000274262 2.73988e-005       0
      18.9430  0.000241240 2.40999e-005       0
      19.0346  0.000215738 2.15522e-005       0
      19.4931  0.000195696 1.95501e-005       0
      19.5848  0.000177276 1.77099e-005       0
      19.6765  0.000230632 2.30402e-005       0
      19.7682  0.000253276 2.53023e-005       0
      19.8599  0.000196480 1.96284e-005       0
      19.9516  0.000173930 1.73756e-005       0
      20.1350  0.000185122 1.84937e-005       0
      20.2267  0.000201832 2.01630e-005       0
      20.3183  0.000205396 2.05191e-005       0
      20.4100  0.000146956 1.46809e-005       0
      20.5201  0.000187052 1.86865e-005       0
      20.6966  0.000139962 1.39822e-005       0
      20.8732  0.000153392 1.53239e-005       0
      21.0500  0.000198618 1.98420e-005       0
      21.2268  0.000313890 3.13576e-005       0
      21.4038  0.000320294 3.19974e-005       0
      21.5808  0.000347322 3.46975e-005       0
      21.7579  0.000332086 3.31754e-005       0
      21.9352  0.000327040 3.26713e-005       0
      22.1125  0.000331284 3.30953e-005       0
      22.2900  0.000372388 3.72016e-005       0
      22.4675  0.000391122 3.90731e-005       0
      22.6452  0.000380256 3.79876e-005       0
      22.8230  0.000361134 3.60773e-005       0
      23.0009  0.000355260 3.54905e-005       0
      23.1788  0.000299332 2.99033e-005       0
      23.3569  0.000263468 2.63205e-005       0
      23.5351  0.000289308 2.89019e-005       0
      23.7134  0.000269396 2.69127e-005       0
      23.8918  0.000224132 2.23908e-005       0
      24.0703  0.000226934 2.26707e-005       0
      24.2489  0.000242714 2.42472e-005       0
      24.4276  0.000198434 1.98236e-005       0
      24.6064  0.000223850 2.23626e-005       0
      24.7853  0.000255294 2.55039e-005       0
      24.9643  0.000216144 2.15928e-005       0
      25.1435  0.000217310 2.17093e-005       0
      25.3227  0.000199866 1.99666e-005       0
      25.5021  0.000156768 1.56611e-005       0
      25.6815  0.000128876 1.28747e-005       0
      25.8611  0.000174174 1.74000e-005       0
      26.0407  0.000136388 1.36252e-005       0
      26.2205  0.000152904 1.52751e-005       0
      26.4004  0.000152458 1.52306e-005       0
      26.5804  0.000119734 1.19614e-005       0
      26.7605  0.000131672 1.31540e-005       0
      26.9407  0.000140816 1.40675e-005       0
      27.1210  0.000137314 1.37177e-005       0
      27.3014  0.000181400 1.81219e-005       0
      27.4820  0.000193254 1.93061e-005       0
      27.6626  0.000198498 1.98300e-005       0
      27.8434  0.000190966 1.90775e-005       0
      28.0242  0.000137606 1.37469e-005       0
      30.0210  0.000106254 1.06148e-005       0
      30.2031  0.000123096 1.22973e-005       0
      31.2986  0.000125098 1.24973e-005       0
      32.0312  0.000188122 1.87934e-005       0
      32.2146  0.000242216 2.41974e-005       0
      32.3982  0.000342280 3.41938e-005       0
      32.5819  0.000321050 3.20729e-005       0
      32.7656  0.000320844 3.20523e-005       0
      32.9495  0.000272852 2.72579e-005       0
      33.1335  0.000233734 2.33500e-005       0
      33.3176  0.000178548 1.78370e-005       0
      33.5019  0.000304126 3.03822e-005       0
      34.6097  0.000280430 2.80150e-005       0
      34.7948  0.000259780 2.59520e-005       0
      34.9799  0.000247900 2.47652e-005       0
