Galaxy1_Wavelength,Galaxy1_Flux,Galaxy1_Interpolated_Wavelength,Galaxy1_Interpolated_Flux,Galaxy2_Wavelength,Galaxy2_Flux,Galaxy2_Interpolated_Wavelength,Galaxy2_Interpolated_Flux,Galaxy3_Wavelength,Galaxy3_Flux,Galaxy3_Interpolated_Wavelength,Galaxy3_Interpolated_Flux,Galaxy4_Wavelength,Galaxy4_Flux,Galaxy4_Interpolated_Wavelength,Galaxy4_Interpolated_Flux,Galaxy5_Wavelength,Galaxy5_Flux,Galaxy5_Interpolated_Wavelength,Galaxy5_Interpolated_Flux,Galaxy6_Wavelength,Galaxy6_Flux,Galaxy6_Interpolated_Wavelength,Galaxy6_Interpolated_Flux,Galaxy7_Wavelength,Galaxy7_Flux,Galaxy7_Interpolated_Wavelength,Galaxy7_Interpolated_Flux,Galaxy8_Wavelength,Galaxy8_Flux,Galaxy8_Interpolated_Wavelength,Galaxy8_Interpolated_Flux,Galaxy9_Wavelength,Galaxy9_Flux,Galaxy9_Interpolated_Wavelength,Galaxy9_Interpolated_Flux,Galaxy10_Wavelength,Galaxy10_Flux,Galaxy10_Interpolated_Wavelength,Galaxy10_Interpolated_Flux
3.0595634,-0.5133175,-0.8429434455134581,-1.8449509936528266,3.0595634,-2.2804086,-0.8429434455134581,-3.164373790386612,3.0595634,-4.207783,-0.8429434455134581,-4.405566293828773,3.0595634,-1.9461881,-0.8429434455134581,-3.695372689205605,3.0595634,-2.8588896,-0.8429434455134581,-1.1004872951992999,3.0595634,1.4329635,-0.8429434455134581,0.945379264569948,3.0595634,-1.9174473,-0.8429434455134581,-3.0505388356307828,3.0595634,1.0533569,-0.8429434455134581,-1.8082649377614641,3.0595634,-2.5000653,-0.8429434455134581,-3.863508603285333,3.0595634,2.8282213,-0.8429434455134581,1.0347132106420087
2.99883,-0.30595326,-0.70564489688563,-1.7350648040554866,2.99883,-2.0726523,-0.70564489688563,-3.0618003068694866,2.99883,-3.9944928,-0.70564489688563,-4.334660966649781,2.99883,-1.7502133,-0.70564489688563,-3.6258603526392323,2.99883,-2.6672044,-0.70564489688563,-1.032171701425142,2.99883,1.6372551,-0.70564489688563,0.979196842304161,2.99883,-1.7124926,-0.70564489688563,-3.052303903935023,2.99883,1.2740204,-0.70564489688563,-1.7399635629191044,2.99883,-2.2942321,-0.70564489688563,-3.820658144850372,2.99883,3.0232482,-0.70564489688563,1.8343569968559656
2.9381192,-0.096645854,-0.5923769638158666,-1.5136051257220482,2.9381192,-1.8632913,-0.5923769638158666,-2.8588045503387627,2.9381192,-3.7800274,-0.5923769638158666,-4.269146637839175,2.9381192,-1.4757968,-0.5923769638158666,-3.5650177297017893,2.9381192,-2.4749563,-0.5923769638158666,-0.9739728072479584,2.9381192,1.8427289,-0.5923769638158666,1.0965009844642346,2.9381192,-1.5061997,-0.5923769638158666,-2.8967082741351913,2.9381192,1.4960369,-0.5923769638158666,-1.6818179860356306,2.9381192,-2.0872338,-0.5923769638158666,-3.707862072988536,2.9381192,3.2184975,-0.5923769638158666,2.216291730878123
2.877429,0.10915646,-0.5319976199797728,-1.3349100537385474,2.877429,-1.6573558,-0.5319976199797728,-2.6924617576960888,2.877429,-3.5679784,-0.5319976199797728,-4.2283664906333485,2.877429,-1.2196162,-0.5319976199797728,-3.53061683282355,2.877429,-2.282873,-0.5319976199797728,-0.9438503270899019,2.877429,2.0439885,-0.5319976199797728,1.1969338713838817,2.877429,-1.303997,-0.5319976199797728,-2.807063416705624,2.877429,1.716489,-0.5319976199797728,-1.6517652235173412,2.877429,-1.8840955,-0.5319976199797728,-3.6380940873033585,2.877429,3.407956,-0.5319976199797728,2.501819211710948
2.816712,0.3077416,-0.38078761604976663,-0.8456111733964465,2.816712,-1.4585524,-0.38078761604976663,-2.2321952386210246,2.816712,-3.361524,-0.38078761604976663,-4.097255349040903,2.816712,-0.9794676,-0.38078761604976663,-3.43062890245131,2.816712,-2.091362,-0.38078761604976663,-0.8661131776845935,2.816712,2.2372546,-0.38078761604976663,1.5605824949040532,2.816712,-1.1096205,-0.38078761604976663,-2.458333468408057,2.816712,1.9324678,-0.38078761604976663,-1.5743957438859297,2.816712,-1.6884882,-0.38078761604976663,-3.3638164559492116,2.816712,3.5868654,-0.38078761604976663,3.062789937886297
2.7560272,0.50099826,-0.2603710094179622,-0.491146226367768,2.7560272,-1.2648559,-0.2603710094179622,-1.9227530648180018,2.7560272,-3.1585603,-0.2603710094179622,-3.9785568899920634,2.7560272,-0.7752921,-0.2603710094179622,-2.7627720919000334,2.7560272,-1.9002105,-0.2603710094179622,-0.8041050630726626,2.7560272,2.4242373,-0.2603710094179622,1.7920747497981897,2.7560272,-0.92139,-0.2603710094179622,-2.2224448269657495,2.7560272,2.1459367,-0.2603710094179622,-1.512993035806551,2.7560272,-1.4985545,-0.2603710094179622,-3.138376996127762,2.7560272,3.7571566,-0.2603710094179622,3.437222860724359
2.6953065,0.69368917,-0.14437482242773209,-0.014727165459576086,2.6953065,-1.0721095,-0.14437482242773209,-1.7800210491399413,2.6953065,-2.9551697,-0.14437482242773209,-3.8921814730876476,2.6953065,-0.5241413,-0.14437482242773209,-0.47946003177834196,2.6953065,-1.7088796,-0.14437482242773209,-0.7400942180065526,2.6953065,2.6087296,-0.14437482242773209,1.892199781622878,2.6953065,-0.73544395,-0.14437482242773209,-2.088843917564143,2.6953065,2.3605826,-0.14437482242773209,-1.449326824937311,2.6953065,-1.3103725,-0.14437482242773209,-2.9824064218671626,2.6953065,3.9234688,-0.14437482242773209,3.5923319779168486
2.6346788,0.8808345,0.07226257326040117,2.109629233719531,2.6346788,-0.88516355,0.07226257326040117,-1.6853871383947696,2.6346788,-2.755529,0.07226257326040117,-3.7375136043081656,2.6346788,-0.26359162,0.07226257326040117,2.429201505677019,2.6346788,-1.5180074,0.07226257326040117,-0.5730397357943864,2.6346788,2.7856355,0.07226257326040117,1.9373972441710126,2.6346788,-0.556926,0.07226257326040117,-1.9493912161099198,2.6346788,2.572349,0.07226257326040117,-1.192411185972718,2.6346788,-1.1287701,0.07226257326040117,-2.5572382644741882,2.6346788,4.0797834,0.07226257326040117,3.6848855418443835
2.5739155,1.053496,0.17493774910846233,2.8223219472465955,2.5739155,-0.71276224,0.17493774910846233,-1.6311312187541611,2.5739155,-2.5667925,0.17493774910846233,-3.603422183985227,2.5739155,-0.021739285,0.17493774910846233,3.2788140682475073,2.5739155,-1.3417162,0.17493774910846233,-0.4555742285057309,2.5739155,2.9458923,0.17493774910846233,1.9518283492934758,2.5739155,-0.3948122,0.17493774910846233,-1.8011963482258346,2.5739155,2.7748175,0.17493774910846233,-0.7768816721165073,2.5739155,-0.9622737,0.17493774910846233,-1.8067867732600118,2.5739155,4.2137895,0.17493774910846233,3.712828767998586
2.5132177,1.2307035,0.27537551348759975,3.298639267573359,2.5132177,-0.53566235,0.27537551348759975,-1.5664468631145552,2.5132177,-2.3724008,0.27537551348759975,-3.4072660812499502,2.5132177,0.18788746,0.27537551348759975,3.8439755604194765,2.5132177,-1.1767051,0.27537551348759975,-0.27218698565486443,2.5132177,3.107923,0.27537551348759975,1.9085998174970695,2.5132177,-0.23082007,0.27537551348759975,-1.5711687140766188,2.5132177,2.9828084,0.27537551348759975,-0.27364671546825137,2.5132177,-0.7925418,0.27537551348759975,-1.1010280357567233,2.5132177,4.3507476,0.27537551348759975,3.658420359400394
